Time_Step,Qubit,T1
1,Qubit_0,0.0002378603543600692
2,Qubit_0,0.0002372253759058868
3,Qubit_0,0.00023801132874515867
4,Qubit_0,0.000238886670063466
5,Qubit_0,0.00023712948683233463
6,Qubit_0,0.0002371295032501088
7,Qubit_0,0.00023894285302256536
8,Qubit_0,0.0002381310749362109
9,Qubit_0,0.00023689416582112303
10,Qubit_0,0.00023790620025064394
11,Qubit_0,0.0002369002225142455
12,Qubit_0,0.0002368979104534877
13,Qubit_0,0.000237605602478624
14,Qubit_0,0.00023545035996240017
15,Qubit_0,0.00023563872237454496
16,Qubit_0,0.00023680135267781702
17,Qubit_0,0.00023635080908672356
18,Qubit_0,0.00023767788753965326
19,Qubit_0,0.00023645561613153677
20,Qubit_0,0.00023595133650572268
1,Qubit_1,0.0001597682166735342
2,Qubit_1,0.0001579267916041261
3,Qubit_1,0.00015807009610930054
4,Qubit_1,0.0001564278197183992
5,Qubit_1,0.00015715818518008745
6,Qubit_1,0.0001576634904943225
7,Qubit_1,0.00015625157432719034
8,Qubit_1,0.0001576282659229583
9,Qubit_1,0.00015650192921469382
10,Qubit_1,0.00015666087415481937
11,Qubit_1,0.00015620086129238323
12,Qubit_1,0.00015850484608912157
13,Qubit_1,0.0001564890706798747
14,Qubit_1,0.00015529485697565675
15,Qubit_1,0.00015702511281671583
16,Qubit_1,0.0001548317242546416
17,Qubit_1,0.00015611143149961738
18,Qubit_1,0.00015379289778073285
19,Qubit_1,0.0001542743818557142
20,Qubit_1,0.00015564942914048178
1,Qubit_2,0.0002259294905575424
2,Qubit_2,0.00022496239225873699
3,Qubit_2,0.00022427537569515876
4,Qubit_2,0.0002236899202819577
5,Qubit_2,0.00022211250198717958
6,Qubit_2,0.0002224711797691523
7,Qubit_2,0.00022233038520658722
8,Qubit_2,0.00022344814620376592
9,Qubit_2,0.00022233464226711544
10,Qubit_2,0.00021982798382218428
11,Qubit_2,0.00022151510794694179
12,Qubit_2,0.0002204059416971307
13,Qubit_2,0.00021971410197724105
14,Qubit_2,0.00022060270026638787
15,Qubit_2,0.00022062202350004294
16,Qubit_2,0.00022012230409666322
17,Qubit_2,0.00021795180645432436
18,Qubit_2,0.00021808181160169578
19,Qubit_2,0.00021832228740895058
20,Qubit_2,0.00021856656910466935
1,Qubit_3,0.0003932514766058601
2,Qubit_3,0.0003936449918670416
3,Qubit_3,0.0003928243158696994
4,Qubit_3,0.00039283444421962473
5,Qubit_3,0.0003949431766660996
6,Qubit_3,0.0003955868908722762
7,Qubit_3,0.0003942586407221251
8,Qubit_3,0.0003954341837415974
9,Qubit_3,0.000394892286868753
10,Qubit_3,0.0003939855310891003
11,Qubit_3,0.0003950920464492138
12,Qubit_3,0.00039636868741017134
13,Qubit_3,0.0003948948248045954
14,Qubit_3,0.00039659529449951936
15,Qubit_3,0.00039251090573961563
16,Qubit_3,0.0003960525533480806
17,Qubit_3,0.0003954176979119435
18,Qubit_3,0.0003951316434932395
19,Qubit_3,0.00039562241162024086
20,Qubit_3,0.0003936430819291045
1,Qubit_4,0.0001761419222502719
2,Qubit_4,0.00017661870670962116
3,Qubit_4,0.0001776394881828509
4,Qubit_4,0.00017554332391983576
5,Qubit_4,0.00017515310053521621
6,Qubit_4,0.0001753598370945249
7,Qubit_4,0.0001766769962558115
8,Qubit_4,0.0001759903452477691
9,Qubit_4,0.00017503183393434237
10,Qubit_4,0.00017597486157122278
11,Qubit_4,0.00017545867168745744
12,Qubit_4,0.0001762302391286423
13,Qubit_4,0.00017445954104423206
14,Qubit_4,0.00017473393199151163
15,Qubit_4,0.00017456948598497724
16,Qubit_4,0.00017339807918997728
17,Qubit_4,0.000175057714415174
18,Qubit_4,0.00017492264941028931
19,Qubit_4,0.00017456670759475188
20,Qubit_4,0.00017422700700473427
